method,patch_id,split,image_name,city,x,y,seconds,iou,dice,precision,recall,f1,n_pred,n_gt,count_err,area_ratio_pred,area_ratio_gt,area_abs_error,selected_c,threshold
K-Means,test_chicago27_0_3072,test,chicago27.tif,chicago,3072,0,0.08146273199997722,0.23367991297837173,0.37883394309990437,0.24244800445571402,0.8659791115880952,0.3788339430999044,6.0,4.0,2.0,52.053070068359375,14.573287963867188,37.47978210449219,,
K-Means,test_chicago27_0_4096,test,chicago27.tif,chicago,4096,0,0.0810380879999002,0.2885071621324159,0.44781615595360874,0.9997174981637381,0.28853068512584695,0.44781615595360874,7.0,5.0,2.0,13.503265380859375,46.78688049316406,33.28361511230469,,
K-Means,test_chicago27_512_1024,test,chicago27.tif,chicago,1024,512,0.08539362900000924,0.4598557804140498,0.6300016571275606,0.5172691687773429,0.805564610770635,0.6300016571275606,32.0,16.0,16.0,36.447906494140625,23.4039306640625,13.043975830078125,,
K-Means,test_chicago27_512_3584,test,chicago27.tif,chicago,3584,512,0.08761470299998564,0.2018906301906366,0.33595507797346574,0.6010306058713304,0.23313457345142272,0.33595507797346574,15.0,3.0,12.0,21.98638916015625,56.68182373046875,34.6954345703125,,
K-Means,test_chicago27_1024_1536,test,chicago27.tif,chicago,1536,1024,0.08657946099992841,0.48525669654448955,0.6534314205395729,0.5733411871540944,0.7595305057467527,0.6534314205395728,31.0,27.0,4.0,31.085586547851562,23.465347290039062,7.6202392578125,,
K-Means,test_chicago27_1024_2048,test,chicago27.tif,chicago,2048,1024,0.08863696799994614,0.5795644891122278,0.7338282078472959,0.7702714273482318,0.7006776228678246,0.7338282078472959,33.0,28.0,5.0,26.731109619140625,29.386138916015625,2.655029296875,,
K-Means,test_chicago27_1024_4096,test,chicago27.tif,chicago,4096,1024,0.07897701800004597,0.17977641762355204,0.3047635381383184,0.18386523102790442,0.889918307302263,0.3047635381383184,4.0,2.0,2.0,58.98857116699219,12.187576293945312,46.800994873046875,,
K-Means,test_chicago27_1536_1536,test,chicago27.tif,chicago,1536,1536,0.08054939500004821,0.23295044713145588,0.37787479241105126,0.24949536064062203,0.7784112997278735,0.3778747924110513,21.0,5.0,16.0,45.92247009277344,14.719009399414062,31.203460693359375,,
K-Means,test_chicago27_2048_512,test,chicago27.tif,chicago,512,2048,0.08378410300008454,0.28452017475492125,0.44299837456302465,0.42746033280694407,0.4597086313065379,0.4429983745630247,27.0,77.0,50.0,35.50987243652344,33.01887512207031,2.490997314453125,,
K-Means,test_chicago27_2560_2560,test,chicago27.tif,chicago,2560,2560,0.08144854099998611,0.3046144014661908,0.4669799768021109,0.4855937415907431,0.44974053601787317,0.4669799768021109,15.0,38.0,23.0,39.69268798828125,42.85697937011719,3.1642913818359375,,
K-Means,test_chicago27_2560_3584,test,chicago27.tif,chicago,3584,2560,0.0818029879999358,0.23314415437003405,0.37812960235640647,0.34171203871748335,0.4232354263449723,0.3781296023564064,18.0,59.0,41.0,37.83416748046875,30.54656982421875,7.28759765625,,
K-Means,test_chicago27_4096_1024,test,chicago27.tif,chicago,1024,4096,0.08180642300010277,0.28486446008686533,0.4434155802980287,0.3957471599184387,0.504140117259147,0.4434155802980287,12.0,6.0,6.0,45.83549499511719,35.98060607910156,9.854888916015625,,
K-Means,test_chicago27_4096_2048,test,chicago27.tif,chicago,2048,4096,0.08129238100002567,0.24549794537104183,0.3942165401130492,0.45717983344586993,0.3464966523092669,0.3942165401130492,27.0,9.0,18.0,27.117919921875,35.78033447265625,8.66241455078125,,
